formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
GeO2,0.639,-1.010,1.457,No,p-6m2,GeO2-77905aa4e75f,5.108,5.512,1.966,2.022
GeS2,0.123,-0.224,0.729,No,p-3m1,GeS2-6b1efcdcfd40,2.266,2.702,0.784,1.159
HfBr2,0.007,-1.157,0.732,No,p-6m2,HfBr2-84e9162c0c53,1.759,2.563,0.808,1.548
HfCl2,0.007,-1.540,0.908,No,p-6m2,HfCl2-864f8b497185,2.092,2.880,0.914,1.723
HfI2,0.114,-0.674,0.630,No,p-6m2,HfI2-05a69240794c,1.421,2.108,0.571,1.283
HfO2,0.214,-3.303,4.777,No,p-3m1,HfO2-a555d8dafaf2,7.939,8.192,2.164,4.991
HfO2,0.770,-2.747,1.928,No,p-6m2,HfO2-512afaae525a,4.700,4.784,2.198,2.041
HfS2,0.000,-1.592,1.221,No,p-3m1,HfS2-d48ddb34811e,2.938,3.832,0.731,1.946
HfS2,0.217,-1.375,1.061,No,p-6m2,HfS2-2c5e65012601,2.826,3.059,1.290,1.331
HfSe2,0.000,-1.349,0.427,No,p-3m1,HfSe2-7a708c5759cf,1.788,2.696,0.399,1.214
HfSe2,0.174,-1.175,0.812,No,p-6m2,HfSe2-d2d9fee03594,2.115,2.465,0.946,1.113
HfTe2,0.133,-0.698,0.132,No,p-6m2,HfTe2-59c0e014651d,0.809,1.412,0.439,0.585
HgBr2,0.038,-0.493,1.982,No,p-3m1,HgBr2-2af12bd12520,3.786,3.786,1.216,1.982
HgBr2,0.138,-0.393,1.573,No,p-6m2,HgBr2-9965e7e32aa2,3.299,3.299,1.034,1.573
HgCl2,0.026,-0.630,2.447,No,p-3m1,HgCl2-31f13a321b70,4.618,4.618,1.565,2.447
HgCl2,0.131,-0.526,2.084,No,p-6m2,HgCl2-6cbe2e585099,4.190,4.203,1.464,2.144
HgI2,0.077,-0.280,1.199,No,p-3m1,HgI2-efa4b9d311d3,2.594,2.878,0.980,1.467
HgI2,0.189,-0.168,0.704,No,p-6m2,HgI2-0ff7ee261fec,2.069,2.289,0.796,0.993
MgBr2,0.000,-1.532,4.588,No,p-3m1,MgBr2-702277c8c7ed,7.716,7.716,1.242,4.588
MgBr2,0.169,-1.363,3.570,No,p-6m2,MgBr2-bee1987fb4e6,6.502,6.502,1.233,3.570
MgCl2,0.000,-1.887,5.941,No,p-3m1,MgCl2-85b63b2e4472,9.599,9.599,1.860,5.941
MgCl2,0.190,-1.697,4.762,No,p-6m2,MgCl2-e73a5c5ae5ac,8.210,8.210,1.793,4.762
MgI2,0.001,-1.080,3.273,No,p-3m1,MgI2-440644551de5,5.744,6.060,1.098,3.602
MgI2,0.160,-0.921,2.566,No,p-6m2,MgI2-67bb6819958f,4.921,4.921,0.918,2.631
MnBr2,0.000,-0.783,1.477,Yes,p-3m1,MnBr2-2afc82f66833,3.797,3.977,0.109,1.695
MnBr2,0.129,-0.654,1.588,Yes,p-6m2,MnBr2-4d6ea02f2407,,,0.586,1.588
MnCl2,0.000,-1.060,1.797,Yes,p-3m1,MnCl2-81a2afdb71c1,5.398,5.564,0.064,1.887
MnCl2,0.136,-0.924,1.713,Yes,p-6m2,MnCl2-36192c4a6b20,,,0.589,1.713
MnI2,0.000,-0.419,0.877,Yes,p-3m1,MnI2-49cdfdc22d83,,,0.196,1.142
MnI2,0.135,-0.285,1.048,Yes,p-6m2,MnI2-2b7cf85310ef,,,0.555,1.293
MnO2,0.018,-1.642,1.132,Yes,p-3m1,MnO2-5cbde8fd417d,3.192,3.241,0.778,1.186
MoO2,0.028,-1.979,0.912,No,p-6m2,MoO2-152bd69757aa,2.317,2.834,0.788,1.691
MoS2,0.000,-0.921,1.580,No,p-6m2,MoS2-b3b4685fb6e1,2.533,2.533,0.547,1.580
MoSe2,0.000,-0.708,1.321,No,p-6m2,MoSe2-f61b14d398c7,2.119,2.119,0.500,1.321
MoTe2,0.000,-0.301,0.932,No,p-6m2,MoTe2-38a53176109a,1.563,1.563,0.455,0.932
NiBr2,0.000,-0.407,0.876,Yes,p-3m1,NiBr2-7b8108883def,2.611,2.613,2.414,1.034
NiCl2,0.000,-0.641,1.219,Yes,p-3m1,NiCl2-3ad667c285e2,3.413,3.414,3.350,1.403
NiO2,0.000,-0.709,1.281,No,p-3m1,NiO2-c444fe118e1b,2.346,2.521,1.212,1.485
NiS2,0.049,-0.252,0.583,No,p-3m1,NiS2-c07043374f26,1.868,2.145,0.450,0.943
OsBr2,0.402,0.354,1.157,No,p-3m1,OsBr2-a5ea024ddd2a,2.463,2.463,1.235,1.159
OsCl2,0.500,0.163,1.330,No,p-3m1,OsCl2-3ed14a37e3d3,2.881,2.881,1.473,1.337
OsI2,0.438,0.438,1.100,No,p-3m1,OsI2-1f04d0d433a3,2.235,2.235,0.869,1.100
AlAs,0.522,0.039,1.237,No,p-6m2,AlAs-814ae25a188e,2.986,3.829,0.966,2.144
AlN,0.512,-0.865,2.893,No,p-6m2,AlN-4fcd8dcb9c90,,,1.750,3.606
AlSb,0.475,0.297,1.507,No,p3m1,AlSb-1734deee2ac1,2.558,2.558,0.787,1.564
OsO2,0.348,-0.627,0.265,Yes,p-3m1,OsO2-c5cf01fee776,,,-0.001,0.306
GaAs,0.413,0.064,1.119,No,p3m1,AsGa-728f322893fe,2.490,2.552,0.398,1.119
InAs,0.400,0.145,0.691,No,p3m1,AsIn-c77a730c90f8,1.687,1.687,0.359,0.691
BN,0.000,-1.292,4.667,No,p-6m2,BN-4a5edc763604,7.117,7.738,2.001,4.667
BP,0.382,-0.029,0.898,No,p-6m2,BP-0a5e44762c75,1.802,1.802,0.494,0.898
BSb,0.806,0.806,0.314,No,p-6m2,BSb-71730c0eaab1,0.635,0.635,0.300,0.314
PbBr2,0.000,-0.965,2.004,No,p-3m1,PbBr2-0dc6977a707b,4.207,4.633,1.186,2.401
PbBr2,0.082,-0.883,2.275,No,p-6m2,PbBr2-cbdc15b42a05,4.436,4.638,1.561,2.591
PbCl2,0.010,-1.168,2.367,No,p-3m1,PbCl2-ec34fbc566ef,4.928,5.608,1.632,2.972
PbCl2,0.105,-1.073,2.775,No,p-6m2,PbCl2-b0b142073783,5.249,5.263,1.819,2.914
PbI2,0.000,-0.692,1.499,No,p-3m1,PbI2-82db29775962,3.224,3.481,0.748,1.735
PbI2,0.078,-0.614,1.577,No,p-6m2,PbI2-9e6494406d07,3.338,3.367,0.762,1.628
PbO2,0.094,-0.804,1.346,No,p-3m1,PbO2-e2a7fd3e05fc,2.995,3.199,1.194,1.621
GaN,0.416,-0.003,1.877,No,p-6m2,GaN-c973e283b023,4.465,5.019,1.121,2.365
GaP,0.447,0.053,1.583,No,p3m1,GaP-d467820f3f04,3.273,3.692,0.908,1.985
PbS2,0.374,-0.004,0.755,No,p-3m1,PbS2-b874a236aaca,1.763,1.946,0.817,0.918
PbS2,0.191,-0.187,1.390,No,p-6m2,PbS2-372c217dd52f,,,1.307,1.390
PbSe2,0.180,-0.209,1.027,No,p-6m2,PbSe2-0bc5d11454a7,,,1.157,1.027
PbSe2,0.347,-0.041,0.082,No,p-3m1,PbSe2-d0003c75d651,0.389,0.831,0.529,0.421
HgO,0.211,-0.145,0.302,No,p-6m2,HgO-a8678fa85c38,,,0.327,0.377
InN,0.482,0.482,0.616,No,p-6m2,InN-8cf70870bc5b,1.914,1.914,0.517,0.658
InP,0.432,0.187,1.099,No,p3m1,InP-c5672c6c1c78,2.300,2.470,0.476,1.225
InSb,0.379,0.238,0.475,No,p3m1,InSb-466fcf7fad66,1.307,1.307,0.298,0.475
PdBr2,0.148,-0.226,0.198,Yes,p-3m1,PdBr2-724e74d0941a,,,0.878,0.373
PdCl2,0.166,-0.350,0.463,Yes,p-3m1,PdCl2-e3731b3b3a79,2.512,2.700,1.559,0.639
PdO2,0.000,-0.399,1.379,No,p-3m1,PdO2-de604d79f9c3,2.903,3.298,1.278,1.784
PdS2,0.101,-0.196,1.171,No,p-3m1,PdS2-02762a09ebbf,2.441,2.613,0.593,1.353
PdSe2,0.026,-0.265,0.558,No,p-3m1,PdSe2-f7acacb69123,1.615,1.987,0.398,0.891
PdSe2,0.268,-0.023,0.229,No,p-6m2,PdSe2-0ae696751911,,,0.274,0.298
Ag2Br2,0.017,-0.331,1.834,No,p4/nmm,Ag2Br2-e5d5e94b098e,,,1.458,1.834
PtBr2,0.293,0.024,0.152,Yes,p-3m1,PtBr2-685abbcc5057,,,0.694,0.358
PtCl2,0.358,-0.067,0.403,Yes,p-3m1,PtCl2-fa8d38b71cd1,2.370,2.610,1.319,0.579
Ag2Cl2,0.048,-0.391,2.000,No,p4/nmm,Ag2Cl2-be4990592165,,,1.744,2.000
Ag2F2,0.101,-0.913,0.555,No,p4/nmm,Ag2F2-0556adc9bc7b,,,2.370,1.692
PtO2,0.006,-0.549,1.674,No,p-3m1,PtO2-6f43cd15097d,3.593,3.966,1.503,2.100
PtS2,0.000,-0.394,1.688,No,p-3m1,PtS2-77caffd1d3ed,2.945,3.108,0.714,1.771
Ag2I2,0.016,-0.253,1.874,No,p4/nmm,Ag2I2-d7506967a8d5,,,1.082,1.874
Ag2O2,0.058,-0.046,0.164,No,p2/m11,Ag2O2-520a721ec074,,,1.179,0.759
PtSe2,0.000,-0.413,1.167,No,p-3m1,PtSe2-d000f0288397,2.381,2.572,0.511,1.358
Ag2S2,0.120,0.063,0.962,No,p2/m11,Ag2S2-ca95bca41f95,,,1.187,1.355
PtTe2,0.027,-0.392,0.303,No,p-3m1,PtTe2-747f8e0087c0,1.242,1.854,0.347,0.794
Ag2Se2,0.089,0.022,0.750,No,p2/m11,Ag2Se2-248fffac5959,,,1.091,1.191
Ag2Te2,0.110,0.059,0.477,No,p2/m11,Ag2Te2-648de0a225fe,,,0.940,0.977
Al2O2,0.237,-2.258,1.315,No,p-6m2,Al2O2-bce0ccee4eca,2.568,2.766,0.787,1.528
Al2S2,0.006,-0.886,2.085,No,p-6m2,Al2S2-f9df9f4a5c34,3.774,4.388,1.330,2.728
Al2Se2,0.000,-0.717,1.997,No,p-6m2,Al2Se2-129a514b51ad,3.537,4.206,1.096,2.645
Al2Te2,0.000,-0.376,1.748,No,p-6m2,Al2Te2-e54041554385,3.016,3.672,0.799,2.345
RuBr2,0.187,-0.101,1.045,No,p-3m1,RuBr2-88699c6d39e3,2.403,2.403,1.353,1.050
RuBr2,0.558,0.270,0.278,Yes,p-6m2,RuBr2-77387040b6e7,,,0.321,0.332
RuCl2,0.206,-0.300,1.181,No,p-3m1,RuCl2-6be75763d9c1,2.624,2.624,1.663,1.184
RuCl2,0.565,0.058,0.463,Yes,p-6m2,RuCl2-5bd943a75688,1.291,1.396,0.407,0.504
RuI2,0.102,0.037,1.022,No,p-3m1,RuI2-9aaf5722abcc,1.988,1.988,0.994,1.022
Au2I2,0.163,0.065,0.781,No,p4/nmm,Au2I2-2a704c8deb56,,,0.692,0.781
Au2O2,0.007,-0.010,0.174,No,p2/m11,Au2O2-c99b8d2aa925,0.970,1.581,0.760,0.439
Au2S2,0.000,-0.091,1.216,No,p2/m11,Au2S2-8074370a0af2,,,1.039,1.605
Au2Se2,0.007,-0.116,0.956,No,p2/m11,Au2Se2-3a5cf30b34d6,,,0.965,1.439
Au2Te2,0.000,-0.105,0.618,No,p2/m11,Au2Te2-d57228736661,,,0.863,1.253
Au2Te2,0.139,0.034,0.037,No,p-6m2,Au2Te2-aafa8f843d5b,,,0.252,0.079
ScBr2,0.000,-1.588,0.157,Yes,p-6m2,ScBr2-78039e746a9a,,,0.780,0.826
ScCl2,0.009,-1.934,0.107,Yes,p-6m2,ScCl2-945f3bbaeedc,,,0.865,0.859
Bi2O2,0.319,-0.715,0.120,No,p-6m2,Bi2O2-53ac438f321b,1.186,1.747,0.608,0.592
ScO2,0.586,-2.427,1.464,Yes,p-6m2,ScO2-f4888020712e,4.421,4.638,3.810,1.658
ScS2,0.395,-1.234,0.718,Yes,p-6m2,ScS2-8cb59bd9248e,2.744,2.918,1.316,0.851
ScSe2,0.126,-1.126,0.560,Yes,p-6m2,ScSe2-b94c70080d61,,,1.057,0.682
Cs2Br2,0.138,-1.687,4.080,No,p4/nmm,Br2Cs2-a9677b59b7ce,,,1.638,4.080
Cu2Br2,0.030,-0.274,1.496,No,p4/nmm,Br2Cu2-c8531601b146,3.318,3.318,1.271,1.496
SnBr2,0.000,-0.797,2.097,No,p-3m1,SnBr2-a41087b2c98b,4.003,4.539,1.423,2.608
SnBr2,0.086,-0.712,2.499,No,p-6m2,SnBr2-8d365ca62c55,4.268,4.357,1.575,2.548
SnCl2,0.021,-0.991,2.324,No,p-3m1,SnCl2-b44ab946b72b,4.553,5.395,1.923,3.095
SnCl2,0.117,-0.895,2.745,No,p-6m2,SnCl2-514a8a12dca9,4.772,4.846,1.879,2.772
K2Br2,0.144,-1.647,4.374,No,p4/nmm,Br2K2-a110a9463b72,,,2.112,4.377
SnI2,0.000,-0.539,1.837,No,p-3m1,SnI2-bf884c9076a0,3.312,3.631,0.946,2.150
SnI2,0.085,-0.454,1.926,No,p-6m2,SnI2-d9c422656482,3.332,3.563,1.161,2.172
SnO2,0.151,-1.548,2.683,No,p-3m1,SnO2-9c24e87a3dde,5.444,6.013,1.823,3.239
SnO2,0.645,-1.054,0.665,No,p-6m2,SnO2-d5f47e5d4cf7,2.871,3.565,1.650,1.352
SnS2,0.000,-0.402,1.587,No,p-3m1,SnS2-42a44e4e7298,3.150,3.402,1.010,1.820
SnS2,0.286,-0.115,0.763,No,p-6m2,SnS2-8f2fa65321f0,2.288,2.479,1.141,1.078
SnSe2,0.000,-0.347,0.762,No,p-3m1,SnSe2-2c6d4c024ca0,1.912,2.283,0.712,1.092
SrBr2,0.017,-2.155,4.929,No,p-3m1,SrBr2-a17f01139eff,8.309,8.322,1.656,4.948
Rb2Br2,0.142,-1.646,4.180,No,p4/nmm,Br2Rb2-307d05b0f770,,,1.919,4.180
SrBr2,0.140,-2.033,4.313,No,p-6m2,SrBr2-2876a0cb2478,7.482,7.509,2.208,4.342
SrCl2,0.046,-2.468,5.738,No,p-3m1,SrCl2-67727fec854b,9.502,9.588,2.057,5.814
SrCl2,0.194,-2.320,4.944,No,p-6m2,SrCl2-77398c835c11,8.483,8.517,2.631,4.974
SrI2,0.000,-1.742,3.984,No,p-3m1,SrI2-7d9241a9f3b1,,,1.317,4.155
SrI2,0.096,-1.646,3.418,No,p-6m2,SrI2-6cfaae647808,6.198,6.310,1.691,3.517
