formula,ehull,hform,gap_pbe,magnetic,layergroup,uid,gap_gw,gap_dir_gw,E_B,gap_dir_pbe
Cd2S4,0.292,-0.152,1.520,No,p2_1/b11,Cd2S4-04d0ed1bbce6,,,1.589,1.736
Ga2I2,0.115,-0.253,1.786,No,p4/nmm,Ga2I2-996fda50f076,,,1.345,2.327
Ga2O2,0.060,-1.450,1.556,No,p-6m2,Ga2O2-16c96094d1a0,3.851,4.388,1.288,2.067
Ga2S2,0.000,-0.664,2.321,No,p-6m2,Ga2S2-ac002f4ce724,4.084,4.324,0.873,2.426
Ga2Se2,0.000,-0.601,1.765,No,p-6m2,Ga2Se2-394e5709a3ac,3.445,3.524,0.636,1.844
Ga2Te2,0.002,-0.372,1.297,No,p-6m2,Ga2Te2-55c23ca88a05,2.617,2.859,0.454,1.487
Ge2H2,0.082,0.082,0.920,No,p-3m1,Ge2H2-c6017e131897,2.353,2.353,0.385,0.920
Ge2S2,0.036,-0.246,1.714,No,pm2_1n,Ge2S2-ecbb7c185669,3.030,3.322,0.944,1.878
Ge2Se2,0.063,-0.205,1.121,No,pm2_1n,Ge2Se2-9b75762d0ef6,1.861,1.861,0.436,1.142
Ge2Te2,0.060,-0.039,0.815,No,pm2_1n,Ge2Te2-3b5fa8791e0d,1.286,1.361,0.464,0.872
Si2H2,0.005,0.005,2.171,No,p-3m1,H2Si2-8d6b4834e8cd,3.833,3.976,0.723,2.299
Sn2H2,0.171,0.171,0.236,No,p-3m1,H2Sn2-2d3c4b88b3c3,1.043,1.043,0.288,0.236
Mo2S4,1.022,0.101,0.133,Yes,p4/mbm,Mo2S4-b1aa62ba3954,,,0.427,0.174
Ni2S4,0.035,-0.265,0.824,No,p2_1/b11,Ni2S4-f295a651d590,,,1.130,1.227
Ni2Se4,0.067,-0.191,1.015,No,p2_1/b11,Ni2Se4-d3aef0ef49cc,,,0.881,1.085
In2I2,0.125,-0.363,1.787,No,p4/nmm,I2In2-3e7cf76994f4,,,1.197,2.095
K2I2,0.134,-1.385,3.885,No,p4/nmm,I2K2-5a28480fd516,,,1.709,3.885
Pb2Se4,0.162,-0.226,0.728,No,c2/m11,Pb2Se4-129ec20b7c07,,,0.629,0.728
Pd2S4,0.002,-0.294,1.120,No,p2_1/b11,Pd2S4-b53de4491ef5,,,1.113,1.611
Pd2Se4,0.004,-0.287,1.313,No,p2_1/b11,Pd2Se4-12f02221b8c5,,,0.891,1.445
Rb2I2,0.137,-1.397,3.714,No,p4/nmm,I2Rb2-11be6212a512,,,1.629,3.714
