i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000116822,0,Nd4I11,I Nd,15,0.063,-0.046,0.167,0.154,0.02,0,0.01,2,1,0,-1,,,5.164,0.29,0.207,2,0,,,,,0.94,0.598
agm2000116456,0,Ca3Br8,Br Ca,11,0.064,-0.044,0.173,0.092,0.08,1,0.93,2,1,0,-1,,,5.446,0.028,0.194,0,0,,,,,0.96,0.621
agm2000088516,0,In3Cl3F,Cl F In,14,0.122,-0.044,0.128,0.192,0.82,1,0.8,2,1,0,-1,,,5.144,0.111,0.3,1,0,,,,,0.76,0.581
agm2000116816,0,Ac4I11,Ac I,15,0.055,-0.041,0.087,0.157,0.24,0,0.14,0,1,0,-1,,,5.381,0.084,0.202,0,0,,,,,0.97,0.522
agm2000135433,0,K2Pr(HO)6,H K O Pr,15,0.032,-0.039,0.103,0.039,0.98,0,0.29,2,1,0,-1,,,3.005,0.052,0.17,0,0,,,,,0.76,0.465
agm2000131291,0,Ce2PuBr6,Br Ce Pu,9,0.012,-0.038,0.065,0.142,1.0,0,0.01,2,3,1,-1,,,5.539,0.209,0.152,2,0,,,,,0.13,0.307
agm2000135306,0,Cs2La(HO)6,Cs H La O,15,0.012,-0.038,0.125,0.078,0.99,0,0.27,2,1,0,-1,,,3.007,0.136,0.2,2,0,,,,,0.71,0.564
agm2000119349,0,Cs8F5,Cs F,13,0.019,-0.035,0.081,0.223,1.0,0,0.02,2,1,0,-1,,,5.328,0.408,0.411,2,0,,,,,0.97,0.482
agm2000135421,0,K2Nd(HO)6,H K Nd O,15,0.04,-0.035,0.137,0.022,0.97,1,0.35,2,1,0,-1,,,2.995,0.079,0.17,0,0,,,,,0.77,0.619
agm2000135135,0,Li2Bi(HO)6,Bi H Li O,15,0.025,-0.035,0.096,0.198,0.85,1,0.36,2,1,0,-1,,,2.623,0.098,0.126,1,0,,,,,0.72,0.436
agm2000110495,0,WSe2,Se W,6,0.017,-0.034,0.141,0.144,0.98,0,0.01,2,1,1,-1,,,4.458,0.02,0.064,0,0,,,,,0.36,0.557
W2Se4-800574ca4834,1,WSe2,Se W,6,0.032,-0.034,0.14,0.144,0.98,0,0.01,2,0,0,-1,,,4.457,0.021,0.065,0,1,4.938,,,,0.35,0.553
agm2000115508,0,Sn4Hg3,Hg Sn,7,0.264,-0.032,0.099,0.274,1.0,1,0.96,2,0,0,-1,,,4.892,0.387,0.533,2,0,,,,,0.89,0.446
Co2I2-8ae8bdf96f94,1,CoI,Co I,4,0.037,-0.029,0.098,0.235,1.0,0,0.0,2,0,0,-1,,,3.835,0.036,0.24,0,1,3.854,,,,0.88,0.442
agm2000001357,0,LuH3,H Lu,8,0.157,-0.029,0.18,0.289,0.65,1,1.0,2,1,0,-1,,,4.783,0.358,0.183,2,0,,,,,0.42,0.729
agm2000135413,0,K2La(HO)6,H K La O,15,0.029,-0.028,0.094,0.031,0.99,0,0.2,2,1,0,-1,,,3.013,0.039,0.161,0,0,,,,,0.79,0.423
