i,s,f,e,n,d,g,u,l,m,t,p,w,r,b,fm,fa,fb,k,ku,kl,kw,kr,kd,q,x,o,pm,iv
agm2000059843,0,IrRhSe3,Ir Rh Se,5,0.325,0.28,0.045,0.127,0.14,1,0.92,0,1,0,-1,,,4.734,0.113,0.229,1,0,,1.508,0.562,1.112,0.8,0.361
agm2000066063,0,LiCoBr3,Br Co Li,10,0.462,0.28,0.025,0.129,0.08,0,0.12,0,1,0,-1,,,4.505,0.139,0.313,2,0,,2.331,0.817,1.856,0.46,0.172
agm2000130623,0,PuS7,Pu S,8,0.263,0.28,0.077,0.205,0.03,1,0.48,0,1,1,-1,,,5.63,0.378,0.204,2,0,,-0.016,0.5,-0.408,0.9,0.461
agm2000118312,0,Zn5Hg12,Hg Zn,17,0.185,0.28,0.061,0.109,0.82,1,1.0,2,1,0,-1,,,5.672,0.295,0.409,2,0,,,,,0.85,0.363
agm2000095992,0,TlCuCl3,Cl Cu Tl,10,0.339,0.28,0.057,0.106,0.13,1,0.4,0,1,1,-1,,,5.145,0.122,0.273,1,0,,2.155,0.718,1.67,0.78,0.46
agm2000139233,0,DyCuI4,Cu Dy I,12,0.189,0.28,0.066,0.088,0.0,0,0.24,0,1,1,-1,,,5.458,0.131,0.113,1,0,,1.46,0.682,1.279,0.45,0.31
agm2000066424,0,MnIBr3,Br I Mn,10,0.301,0.28,0.04,0.103,0.13,0,0.19,0,1,0,-1,,,5.61,0.034,0.178,0,0,,2.324,1.061,1.562,0.48,0.268
agm2000144415,0,CrPbI6,Cr I Pb,8,0.132,0.28,0.11,0.13,0.83,0,0.16,2,1,1,-1,,,5.327,0.076,0.097,0,0,,,,,0.29,0.432
agm2000143564,0,NpGeCl6,Cl Ge Np,8,0.288,0.28,0.027,0.087,0.01,0,0.0,0,1,1,-1,,,6.313,0.191,0.093,2,0,,2.376,1.061,1.692,0.19,0.184
agm2000145927,0,TiTeI6,I Te Ti,8,0.157,0.28,0.105,0.156,0.17,0,0.0,1,1,0,-1,,,5.183,0.116,0.111,1,0,,1.999,0.688,1.594,0.12,0.413
JVASP-6109,2,MoBr3,Br Mo,8,0.562,0.28,0.22,0.174,0.89,0,0.0,2,0,0,-1,,,4.771,0.072,0.237,0,0,,,,,0.5,0.788
agm2000020254,0,AgF3,Ag F,8,0.115,0.28,0.077,0.14,0.52,1,0.57,2,1,0,-1,,,6.573,0.19,0.175,2,0,,,,,0.57,0.461
agm2000034008,0,AgF,Ag F,24,0.122,0.281,0.042,0.041,0.72,1,0.93,2,1,1,-1,,,6.715,0.402,0.317,2,0,,,,,0.63,0.344
agm2000132886,0,Li2PuI6,I Li Pu,9,0.256,0.281,0.068,0.081,0.0,0,0.15,0,2,1,-1,,,4.979,0.114,0.124,1,0,,2.467,0.777,2.128,0.04,0.32
agm2000015774,0,FeCl2,Cl Fe,12,0.013,0.281,0.052,0.203,0.9,0,0.0,2,2,1,-1,,,5.912,0.1,0.178,1,0,,,,,0.27,0.354
agm2000098680,0,Na3VSe3,Na Se V,14,0.189,0.281,0.136,0.171,0.55,1,0.78,2,0,0,-1,,,2.963,0.242,0.281,2,0,,,,,0.95,0.616
agm2000140129,0,ZrScBr4,Br Sc Zr,12,0.268,0.281,0.022,0.139,0.8,0,0.27,2,1,1,-1,,,4.113,0.096,0.154,1,0,,,,,0.54,0.177
agm2000018308,0,NiBr2,Br Ni,6,0.09,0.281,0.078,0.103,0.01,1,0.85,0,1,0,-1,,,5.711,0.047,0.152,0,0,,2.316,0.74,1.916,0.23,0.366
agm2000049279,0,Nb4Cl11,Cl Nb,15,0.153,0.281,0.057,0.125,0.07,0,0.22,0,1,0,-1,,,5.027,0.071,0.201,0,0,,2.246,1.03,1.59,0.39,0.385
agm2000098240,0,LiVI3,I Li V,10,0.045,0.281,0.069,0.16,0.56,0,0.01,2,1,0,-1,,,3.96,0.189,0.187,2,0,,,,,0.67,0.412
agm2000060749,0,PdSI,I Pd S,6,0.075,0.281,0.101,0.132,0.16,1,0.94,1,1,1,-1,,,5.149,0.052,0.296,1,0,,2.012,0.877,1.37,0.36,0.399
agm2000143207,0,CaUBr6,Br Ca U,8,0.211,0.281,0.026,0.065,0.16,0,0.0,0,1,1,-1,,,5.689,0.296,0.143,2,0,,2.42,0.859,1.948,0.04,0.177
agm2000141256,0,CaUCl5,Ca Cl U,14,0.154,0.281,0.035,0.079,0.06,0,0.0,0,1,1,-1,,,5.887,0.536,0.152,2,0,,2.222,0.956,1.691,0.17,0.24
agm2000134132,0,Ti(InI3)2,I In Ti,9,0.32,0.281,0.064,0.141,0.1,0,0.07,0,1,1,-1,,,4.695,0.145,0.154,2,0,,1.783,0.623,1.592,0.18,0.3
Ag2O2-520a721ec074,1,AgO,Ag O,4,0.164,0.281,0.093,0.231,0.34,1,0.83,1,0,0,-1,,,5.628,0.124,0.224,1,1,5.47,1.785,0.841,0.973,0.94,0.42
agm2000022109,0,AgBr3,Ag Br,8,0.251,0.281,0.093,0.154,0.8,0,0.3,2,1,1,-1,,,6.735,0.115,0.131,1,0,,,,,0.4,0.366
agm2000073900,0,Tl3Hg2As3,As Hg Tl,8,0.21,0.281,0.059,0.09,0.9,1,0.75,2,1,0,-1,,,5.093,0.22,0.455,2,0,,,,,0.86,0.477
agm2000063773,0,RuIBr3,Br I Ru,10,0.289,0.281,0.039,0.093,0.88,0,0.09,2,1,1,-1,,,5.354,0.078,0.163,0,0,,,,,0.11,0.265
agm2000101375,0,TaHgTe3,Hg Ta Te,10,0.036,0.281,0.056,0.147,0.91,1,0.37,2,1,0,-1,,,4.725,0.128,0.168,1,0,,,,,0.85,0.455
agm2000143814,0,HgOsCl6,Cl Hg Os,8,0.334,0.281,0.048,0.094,0.1,0,0.0,0,2,1,-1,,,5.969,0.104,0.138,1,0,,2.152,1.083,1.358,0.16,0.324
agm2000145334,0,CeMnI6,Ce I Mn,8,0.266,0.281,0.055,0.094,0.0,0,0.06,0,1,1,-1,,,5.315,0.102,0.109,1,0,,2.073,0.722,1.808,0.07,0.375
agm2000031458,0,MnI3,I Mn,16,0.351,0.281,0.08,0.138,0.75,1,0.41,2,1,0,-1,,,5.196,0.072,0.147,0,0,,,,,0.17,0.38
agm2000009637,0,CoBr3,Br Co,4,0.289,0.281,0.064,0.116,0.12,0,0.22,0,0,0,-1,,,5.294,0.184,0.224,2,0,,2.267,0.979,1.573,0.57,0.38
agm2000138708,0,InAgCl4,Ag Cl In,12,0.336,0.282,0.052,0.139,0.4,1,0.46,0,1,0,-1,,,6.674,0.071,0.095,0,0,,2.255,0.89,1.735,0.38,0.353
agm2000143392,0,CoCuCl6,Cl Co Cu,8,0.255,0.282,0.017,0.102,0.34,0,0.02,0,1,1,-1,,,6.627,0.078,0.084,0,0,,1.899,1.102,1.119,0.21,0.115
agm2000140418,0,SrTmI4,I Sr Tm,12,0.281,0.282,0.034,0.057,0.0,0,0.0,0,1,1,-1,,,5.095,0.257,0.135,2,0,,2.279,0.69,2.169,0.43,0.232
agm2000104330,0,CuReAs2,As Cu Re,8,0.362,0.282,0.1,0.22,0.95,1,0.72,2,0,0,-1,,,4.641,0.102,0.29,1,0,,,,,0.73,0.452
agm2000145796,0,SrPuI6,I Pu Sr,8,0.274,0.282,0.042,0.059,0.0,0,0.13,0,1,1,-1,,,5.312,0.048,0.122,0,0,,2.365,0.929,1.897,0.04,0.285
agm2000145600,0,SnPdI6,I Pd Sn,8,0.176,0.282,0.019,0.097,0.0,0,0.12,0,1,1,-1,,,5.296,0.06,0.094,0,0,,2.193,0.918,1.723,0.12,0.131
agm2000133257,0,Na2UBr6,Br Na U,9,0.201,0.282,0.038,0.09,0.12,0,0.0,0,1,1,-1,,,4.784,0.346,0.359,2,0,,2.432,0.767,2.057,0.06,0.256
agm2000142018,0,NaUBr5,Br Na U,14,0.228,0.282,0.03,0.085,0.0,0,0.0,0,1,0,-1,,,5.312,0.356,0.218,2,0,,1.816,0.859,1.428,0.18,0.204
agm2000101134,0,Pd2SBr2,Br Pd S,10,0.228,0.282,0.053,0.224,0.28,0,0.3,0,1,1,-1,,,5.38,0.055,0.202,0,0,,1.562,0.78,1.046,0.81,0.427
agm2000142081,0,HoNiI5,Ho I Ni,14,0.208,0.282,0.035,0.03,0.0,0,0.27,0,1,1,-1,,,5.342,0.052,0.138,0,0,,1.877,0.689,1.615,0.22,0.24
agm2000131240,0,U(AgBr3)2,Ag Br U,9,0.21,0.283,0.01,0.092,0.23,0,0.01,0,1,1,-1,,,6.353,0.189,0.106,2,0,,1.625,0.598,1.434,0.17,0.064
OsO2-c5cf01fee776,1,OsO2,O Os,3,0.265,0.283,0.169,0.257,0.0,1,1.0,2,0,0,1,Os,O,5.869,0.043,0.137,0,1,5.977,,,,0.86,0.607
agm2000128686,0,UI4,I U,5,0.251,0.283,0.049,0.092,0.01,0,0.0,0,1,1,-1,,,5.286,0.289,0.143,2,0,,1.864,0.818,1.467,0.19,0.329
agm2000134875,0,USn3Cl8,Cl Sn U,12,0.113,0.283,0.083,0.161,0.03,0,0.0,0,1,0,-1,,,5.647,0.183,0.152,2,0,,1.456,0.636,1.238,0.86,0.497
agm2000094071,0,VSBr2,Br S V,8,0.331,0.283,0.024,0.152,0.45,0,0.12,0,1,0,-1,,,5.042,0.143,0.332,2,0,,2.538,0.939,1.983,0.62,0.193
agm2000103510,0,KCuCl3,Cl Cu K,10,0.015,0.283,0.067,0.193,0.55,0,0.1,2,0,0,-1,,,5.475,0.232,0.212,2,0,,,,,0.42,0.318
agm2000049271,0,Ta3Cl10,Cl Ta,13,0.148,0.283,0.067,0.161,0.57,1,0.82,2,1,0,-1,,,5.128,0.133,0.242,2,0,,,,,0.56,0.402
agm2000060785,0,Gd2Te2S,Gd S Te,5,0.257,0.283,0.037,0.16,0.01,0,0.0,0,1,0,-1,,,5.255,0.662,0.273,2,0,,0.154,0.174,0.329,0.84,0.299
agm2000138584,0,SrDyBr4,Br Dy Sr,12,0.273,0.283,0.062,0.054,0.0,0,0.0,0,2,1,-1,,,5.564,0.245,0.145,2,0,,2.784,0.827,2.514,0.42,0.29
agm2000091611,0,KRb3O2,K O Rb,12,0.27,0.283,0.022,0.119,0.23,1,0.76,0,1,0,-1,,,3.306,0.209,0.25,2,0,,1.596,0.599,1.308,0.88,0.175
agm2000011111,0,NiCl2,Cl Ni,6,0.403,0.283,0.019,0.074,0.04,1,0.69,0,1,1,-1,,,6.466,0.067,0.127,0,0,,2.327,0.933,1.753,0.64,0.155
agm2000103545,0,TlNiCl3,Cl Ni Tl,10,0.192,0.283,0.047,0.152,0.07,0,0.12,0,1,0,-1,,,5.367,0.303,0.238,2,0,,2.082,0.838,1.735,0.82,0.379
agm2000022189,0,NiCl2,Cl Ni,6,0.23,0.284,0.049,0.103,0.01,1,0.78,0,1,1,-1,,,6.333,0.268,0.213,2,0,,1.952,0.906,1.4,0.56,0.399
agm2000007724,0,Er2S3,Er S,5,0.289,0.284,0.133,0.233,0.09,1,0.69,1,1,0,-1,,,5.862,0.327,0.231,2,0,,1.251,0.869,0.783,0.9,0.6
InSb-466fcf7fad66,1,InSb,In Sb,2,0.475,0.284,0.497,0.392,0.67,1,0.82,2,0,0,2,In,Sb,4.397,0.031,0.187,0,1,4.34,,,,0.97,1.784
agm2000136622,0,NaLi2NpI6,I Li Na Np,10,0.256,0.284,0.074,0.148,0.2,0,0.01,0,3,1,-1,,,4.277,0.133,0.221,2,0,,2.671,1.084,2.039,0.36,0.351
agm2000137874,0,AgI2Br,Ag Br I,8,0.259,0.284,0.029,0.169,0.67,1,0.83,2,1,0,-1,,,6.031,0.052,0.124,0,0,,,,,0.54,0.233
agm2000061240,0,VAgSe3,Ag Se V,5,0.179,0.284,0.043,0.132,0.34,1,0.83,0,1,0,-1,,,5.049,0.067,0.2,0,0,,1.724,0.571,1.317,0.8,0.349
agm2000114840,0,Cd4Cl3,Cd Cl,14,0.504,0.284,0.158,0.261,0.26,0,0.17,2,1,0,-1,,,5.286,0.256,0.319,2,0,,,,,0.82,0.566
agm2000013994,0,Ni2Se3,Ni Se,10,0.307,0.284,0.04,0.107,0.96,1,0.83,2,1,1,-1,,,4.725,0.057,0.169,0,0,,,,,0.43,0.272
agm2000139612,0,LaMgBr4,Br La Mg,12,0.11,0.284,0.09,0.1,0.0,0,0.04,0,3,1,-1,,,5.394,0.491,0.157,2,0,,2.483,0.576,2.42,0.43,0.425
agm2000033137,0,AgCl3,Ag Cl,16,0.124,0.284,0.083,0.181,0.5,1,0.48,0,0,0,-1,,,6.077,0.3,0.208,2,0,,2.273,0.982,1.503,0.67,0.494
agm2000140119,0,ScPdBr4,Br Pd Sc,12,0.218,0.284,0.022,0.104,0.31,0,0.31,0,1,0,-1,,,5.524,0.118,0.12,1,0,,1.589,0.729,1.246,0.6,0.18
agm2000136392,0,CeCu2AgBr6,Ag Br Ce Cu,10,0.329,0.284,0.051,0.128,0.24,0,0.08,0,1,1,-1,,,6.189,0.12,0.104,1,0,,1.713,0.697,1.379,0.33,0.347
agm2000137554,0,TlCu(PS3)2,Cu P S Tl,10,0.254,0.284,0.071,0.159,0.37,1,0.64,0,1,0,-1,,,5.576,0.088,0.174,0,0,,1.15,0.82,0.615,0.6,0.424
agm2000118615,0,H5Se6,H Se,11,0.348,0.284,0.079,0.311,0.59,1,0.39,2,1,0,-1,,,4.373,0.184,0.314,2,0,,,,,0.87,0.476
agm2000019779,0,RuCl4,Cl Ru,10,0.125,0.284,0.029,0.111,0.1,0,0.16,0,1,0,-1,,,5.85,0.13,0.185,1,0,,2.669,1.097,1.862,0.35,0.198
agm2000143007,0,PuSnBr6,Br Pu Sn,8,0.197,0.284,0.026,0.063,0.0,0,0.04,0,1,1,-1,,,5.882,0.085,0.122,0,0,,1.993,0.934,1.464,0.12,0.178
agm2000138721,0,CaErCl4,Ca Cl Er,12,0.312,0.284,0.052,0.072,0.04,0,0.21,0,1,1,-1,,,6.127,0.302,0.137,2,0,,2.976,0.842,2.785,0.33,0.349
agm2000134644,0,Zr3HgCl7,Cl Hg Zr,11,0.122,0.284,0.038,0.12,0.09,1,0.83,0,1,0,-1,,,4.994,0.111,0.259,1,0,,1.734,0.749,1.647,0.61,0.304
agm2000142079,0,DyNiI5,Dy I Ni,14,0.214,0.285,0.039,0.047,0.0,0,0.22,0,1,1,-1,,,5.348,0.069,0.141,0,0,,1.71,0.641,1.511,0.27,0.261
agm2000137339,0,NaMg(SeO3)2,Mg Na O Se,10,0.366,0.285,0.116,0.103,0.01,1,0.47,1,1,0,-1,,,6.661,0.457,0.287,2,0,,2.063,1.101,1.015,0.89,0.523
agm2000010505,0,WSe3,Se W,4,0.23,0.285,0.058,0.17,0.02,1,0.93,0,1,0,-1,,,4.663,0.062,0.203,0,0,,1.038,0.55,0.635,0.95,0.468
agm2000075325,0,Hg3(BiAs2)2,As Bi Hg,9,0.109,0.285,0.041,0.095,0.69,1,0.54,2,1,0,-1,,,4.948,0.329,0.31,2,0,,,,,0.71,0.334
agm2000139077,0,CdCoBr4,Br Cd Co,12,0.283,0.285,0.025,0.082,0.01,0,0.19,0,3,1,-1,,,5.5,0.079,0.13,0,0,,2.091,0.755,1.73,0.14,0.17
agm2000027918,0,TiCl3,Cl Ti,8,0.27,0.285,0.035,0.086,0.0,0,0.0,0,1,0,-1,,,5.443,0.083,0.238,0,0,,2.102,0.853,1.628,0.48,0.237
agm2000142223,0,SrUI5,I Sr U,14,0.331,0.285,0.029,0.086,0.02,0,0.01,0,1,1,-1,,,5.172,0.222,0.15,2,0,,2.682,0.899,2.276,0.18,0.193
agm2000139255,0,CuSbI4,Cu I Sb,12,0.237,0.285,0.028,0.101,0.15,1,0.38,0,1,1,-1,,,5.187,0.082,0.124,0,0,,1.783,0.697,1.455,0.39,0.191
agm2000013203,0,CuF2,Cu F,6,0.112,0.285,0.147,0.191,0.9,1,0.35,2,0,0,-1,,,6.297,0.148,0.196,2,0,,,,,0.38,0.594
agm2000119898,0,In5I9,I In,14,0.257,0.285,0.056,0.195,0.76,1,0.48,2,1,1,-1,,,4.456,0.097,0.191,1,0,,,,,0.87,0.454
agm2000032319,0,VBr2,Br V,12,0.257,0.285,0.019,0.132,0.97,0,0.0,2,1,0,-1,,,4.738,0.079,0.247,0,0,,,,,0.37,0.127
agm2000029153,0,VBr2,Br V,6,0.261,0.285,0.019,0.132,0.97,0,0.0,2,1,0,-1,,,4.736,0.079,0.247,0,0,,,,,0.37,0.128
agm2000138801,0,CuPbCl4,Cl Cu Pb,12,0.34,0.285,0.039,0.114,0.28,0,0.23,0,0,0,-1,,,6.688,0.034,0.097,0,0,,2.306,1.115,1.51,0.33,0.266
agm2000141115,0,USnBr5,Br Sn U,14,0.234,0.285,0.06,0.091,0.11,0,0.01,0,2,1,-1,,,5.512,0.219,0.155,2,0,,1.647,0.634,1.432,0.27,0.402
P2Ta2Se6-e2c90519357b,1,TaPSe3,P Se Ta,10,0.294,0.285,0.06,0.114,0.14,1,0.54,0,0,0,-1,,,4.658,0.038,0.146,0,1,4.853,1.643,0.3,1.624,0.64,0.482
agm2000015844,0,CoCl3,Cl Co,8,0.236,0.285,0.028,0.121,0.02,0,0.03,0,2,1,-1,,,6.378,0.221,0.132,2,0,,2.225,1.146,1.467,0.68,0.23
agm2000082864,0,MnOF,F Mn O,6,0.334,0.286,0.019,0.336,0.1,1,0.78,2,1,0,-1,,,5.377,0.186,0.366,2,0,,,,,0.84,0.152
agm2000143364,0,UCdCl6,Cd Cl U,8,0.173,0.286,0.025,0.079,0.08,0,0.0,0,1,1,-1,,,6.262,0.316,0.093,2,0,,2.032,0.728,1.689,0.11,0.172
agm2000113233,0,Hg3P2,Hg P,10,0.123,0.286,0.049,0.123,0.16,1,0.96,0,1,0,-1,,,5.572,0.341,0.43,2,0,,1.761,0.628,1.404,0.84,0.395
agm2000098679,0,Na3TiSe3,Na Se Ti,14,0.077,0.286,0.084,0.224,0.23,1,0.44,0,1,0,-1,,,2.903,0.223,0.278,2,0,,0.865,0.284,0.828,0.91,0.503
agm2000089735,0,LiRhSe3,Li Rh Se,10,0.154,0.286,0.057,0.142,0.79,1,0.92,2,1,0,-1,,,4.949,0.233,0.309,2,0,,,,,0.69,0.465
agm2000093339,0,AuSeBr,Au Br Se,12,0.171,0.286,0.035,0.173,0.23,1,0.83,0,1,0,-1,,,5.374,0.072,0.209,0,0,,2.498,0.861,1.822,0.74,0.286
agm2000041004,0,V2Br7,Br V,18,0.06,0.286,0.041,0.149,0.16,0,0.0,0,3,1,-1,,,5.613,0.069,0.197,0,0,,2.755,1.002,2.137,0.55,0.33
agm2000141579,0,SrUCl5,Cl Sr U,14,0.333,0.287,0.037,0.08,0.05,0,0.0,0,1,1,-1,,,5.825,0.519,0.156,2,0,,2.39,0.953,1.885,0.31,0.251
agm2000069820,0,AgBiTe2,Ag Bi Te,4,0.688,0.287,0.231,0.229,0.0,0,0.24,2,0,0,-1,,,4.669,0.052,0.219,0,0,,,,,0.99,0.827
JVASP-7015,2,NiSe2,Ni Se,3,0.096,0.287,0.061,0.141,0.0,1,0.86,0,0,0,1,Ni,Se,4.707,0.042,0.14,0,0,,1.621,0.383,1.435,0.28,0.29
agm2000006919,0,Hg3P2,Hg P,5,0.065,0.287,0.099,0.221,0.04,1,0.97,1,1,0,-1,,,5.354,0.247,0.379,2,0,,1.798,0.725,1.317,0.87,0.448
agm2000131677,0,Co2HgCl6,Cl Co Hg,9,0.281,0.287,0.034,0.077,0.0,0,0.04,0,1,1,-1,,,5.955,0.083,0.192,0,0,,2.047,0.944,1.403,0.24,0.227
agm2000005437,0,AgF,Ag F,6,0.069,0.287,0.066,0.048,0.75,1,0.89,2,1,1,-1,,,6.54,0.365,0.324,2,0,,,,,0.65,0.395
agm2000033296,0,RuCl4,Cl Ru,20,0.301,0.287,0.041,0.124,0.12,0,0.16,0,1,0,-1,,,5.98,0.133,0.173,2,0,,2.664,1.105,1.846,0.28,0.278
agm2000063028,0,TiTeBr,Br Te Ti,6,0.048,0.287,0.112,0.187,0.95,0,0.16,2,2,1,-1,,,4.661,0.197,0.334,2,0,,,,,0.71,0.507
agm2000076200,0,MoBr3Cl2,Br Cl Mo,6,0.316,0.287,0.04,0.104,0.09,1,0.68,0,3,1,-1,,,5.321,0.125,0.193,1,0,,2.471,1.057,1.69,0.79,0.326
agm2000104180,0,CrTeSe,Cr Se Te,18,0.296,0.288,0.033,0.137,0.86,1,0.88,2,1,1,-1,,,4.792,0.06,0.237,0,0,,,,,0.78,0.264
agm2000060700,0,GeSI2,Ge I S,4,0.291,0.288,0.056,0.176,0.01,1,0.84,0,1,0,-1,,,5.349,0.117,0.202,1,0,,1.391,0.45,1.262,0.62,0.452
agm2000078712,0,MgCrI4,Cr I Mg,6,0.246,0.288,0.045,0.166,0.06,1,0.53,0,1,1,-1,,,4.725,0.062,0.263,1,0,,2.135,0.713,1.915,0.19,0.302
agm2000037363,0,Cu2S,Cu S,12,0.103,0.288,0.118,0.124,0.06,1,0.81,1,1,0,-1,,,5.22,0.25,0.254,2,0,,1.226,0.494,0.911,0.66,0.534
agm2000142104,0,YNiI5,I Ni Y,14,0.221,0.288,0.045,0.032,0.0,1,0.62,0,1,1,-1,,,4.941,0.107,0.133,1,0,,1.962,0.726,1.675,0.19,0.304
agm2000049015,0,PdBr2,Br Pd,9,0.389,0.288,0.017,0.137,0.66,1,0.93,2,1,0,-1,,,4.995,0.227,0.351,2,0,,,,,0.65,0.141
agm2000015244,0,VBr3,Br V,8,0.238,0.288,0.022,0.111,0.0,0,0.0,0,0,0,-1,,,5.514,0.12,0.189,1,0,,2.41,0.954,1.786,0.56,0.18
agm2000039542,0,In4I5,I In,18,0.17,0.288,0.103,0.203,0.75,1,0.55,2,1,0,-1,,,4.224,0.111,0.174,1,0,,,,,0.87,0.464
agm2000066960,0,Mg(ZnN)2,Mg N Zn,10,0.229,0.288,0.096,0.19,0.7,1,0.88,2,0,0,-1,,,4.362,0.133,0.486,2,0,,,,,0.89,0.433
agm2000145183,0,LiSbI6,I Li Sb,8,0.268,0.288,0.066,0.162,0.01,1,0.53,0,1,0,-1,,,5.11,0.089,0.101,1,0,,2.635,0.892,2.148,0.11,0.311
agm2000037988,0,TaBr4,Br Ta,10,0.228,0.288,0.03,0.14,0.52,0,0.26,2,1,0,-1,,,5.168,0.106,0.106,1,0,,,,,0.49,0.204
agm2000132345,0,Fe(NiBr3)2,Br Fe Ni,9,0.319,0.288,0.045,0.114,1.0,0,0.1,2,0,0,-1,,,5.413,0.102,0.183,1,0,,,,,0.12,0.303
agm2000145917,0,TiInI6,I In Ti,8,0.226,0.288,0.052,0.109,0.01,0,0.01,0,1,1,-1,,,4.97,0.057,0.076,0,0,,1.89,0.675,1.663,0.13,0.35
agm2000133080,0,Nd2MgBr6,Br Mg Nd,9,0.256,0.288,0.031,0.085,0.09,1,0.62,0,1,0,-1,,,5.347,0.306,0.218,2,0,,2.139,0.718,1.986,0.78,0.253
agm2000062359,0,PdSeCl,Cl Pd Se,6,0.189,0.288,0.044,0.139,0.4,1,0.67,0,1,1,-1,,,5.725,0.068,0.221,0,0,,2.303,0.827,1.807,0.44,0.3
agm2000139764,0,MnOsSe4,Mn Os Se,12,0.098,0.289,0.035,0.093,0.94,1,0.91,2,1,1,-1,,,4.948,0.04,0.154,0,0,,,,,0.3,0.235
agm2000016146,0,Cu2I3,Cu I,10,0.011,0.289,0.163,0.2,0.71,0,0.13,2,0,0,-1,,,4.91,0.067,0.342,2,0,,,,,0.45,0.661
agm2000048999,0,NbBr2,Br Nb,9,0.181,0.289,0.061,0.117,0.0,0,0.04,0,1,0,-1,,,4.281,0.073,0.217,0,0,,1.698,0.881,1.233,0.77,0.364
agm2000061269,0,Tl2VSe3,Se Tl V,6,0.162,0.289,0.102,0.268,0.55,1,0.89,2,0,0,-1,,,5.375,0.084,0.288,1,0,,,,,0.46,0.401
agm2000139677,0,HoMgI4,Ho I Mg,12,0.321,0.289,0.039,0.081,0.01,0,0.0,0,1,1,-1,,,4.872,0.185,0.16,2,0,,1.891,0.559,1.931,0.28,0.264
JVASP-9002,2,KMgSb,K Mg Sb,6,0.766,0.289,0.129,0.223,0.91,1,0.44,2,0,0,-1,,,3.862,0.476,0.416,2,0,,,,,0.7,0.583
agm2000074970,0,Tl4BiAs3,As Bi Tl,8,0.599,0.289,0.076,0.069,0.51,1,0.65,0,0,0,-1,,,4.702,0.163,0.397,2,0,,1.385,0.505,1.128,0.82,0.455
agm2000062245,0,InAgTe,Ag In Te,6,0.746,0.289,0.152,0.16,0.04,1,0.67,2,0,0,-1,,,4.72,0.13,0.423,2,0,,,,,0.71,0.547
agm2000137217,0,TiTeO,O Te Ti,6,0.34,0.29,0.063,0.192,0.83,1,0.68,2,1,1,-1,,,5.092,0.123,0.403,2,0,,,,,0.72,0.379
agm2000134983,0,UAu3I8,Au I U,12,0.22,0.29,0.045,0.106,0.13,0,0.03,0,1,1,-1,,,5.469,0.1,0.076,1,0,,1.403,0.651,1.105,0.63,0.365
agm2000070028,0,AgTeI,Ag I Te,6,0.115,0.29,0.123,0.177,0.17,1,0.71,1,1,1,-1,,,4.861,0.035,0.209,0,0,,1.525,0.208,1.591,0.73,0.554
agm2000019277,0,PtBr2,Br Pt,12,0.146,0.29,0.076,0.132,0.01,1,0.92,0,1,0,-1,,,5.338,0.038,0.227,0,0,,2.272,0.87,1.724,0.73,0.456
agm2000115560,0,Te3Au4,Au Te,14,0.258,0.29,0.059,0.228,0.88,1,0.81,2,1,1,-1,,,5.215,0.165,0.31,2,0,,,,,0.5,0.401
agm2000041043,0,VBr2,Br V,18,0.178,0.29,0.027,0.142,0.19,0,0.02,0,1,0,-1,,,4.539,0.166,0.347,2,0,,2.395,0.934,1.872,0.73,0.22
Te2Tl2-73117163f0e2,1,TlTe,Te Tl,4,0.339,0.29,0.123,0.207,0.04,1,0.65,1,0,0,-1,,,5.055,0.057,0.284,1,1,5.014,-0.054,0.236,-0.02,0.81,0.554
agm2000101770,0,InAgTe,Ag In Te,12,0.852,0.29,0.154,0.16,0.05,1,0.67,2,0,0,-1,,,4.72,0.131,0.423,2,0,,,,,0.71,0.551
agm2000007770,0,Rh2S3,Rh S,5,0.238,0.29,0.058,0.167,0.73,1,0.76,2,1,0,-1,,,5.238,0.033,0.24,0,0,,,,,0.79,0.473
agm2000128961,0,SnTe4,Sn Te,10,0.233,0.29,0.035,0.16,0.2,1,0.77,0,1,0,-1,,,4.902,0.084,0.132,0,0,,0.399,0.183,0.379,0.93,0.288
agm2000146055,0,NpZnBr6,Br Np Zn,8,0.33,0.29,0.055,0.072,0.01,0,0.0,0,1,1,-1,,,5.611,0.105,0.128,1,0,,2.345,0.883,1.786,0.07,0.374
agm2000087511,0,Cu3AgSe3,Ag Cu Se,14,0.124,0.29,0.047,0.126,0.94,1,0.71,2,1,0,-1,,,5.049,0.199,0.229,2,0,,,,,0.67,0.383
agm2000139296,0,FeTcTe4,Fe Tc Te,12,0.063,0.29,0.042,0.075,0.81,0,0.13,2,1,0,-1,,,4.65,0.12,0.164,1,0,,,,,0.35,0.286
agm2000134963,0,Ge3AsI8,As Ge I,12,0.153,0.29,0.068,0.196,0.01,1,0.99,0,1,0,-1,,,5.145,0.019,0.182,0,0,,1.655,0.51,1.7,0.26,0.321
agm2000056978,0,NaNiBr3,Br Na Ni,5,0.05,0.291,0.047,0.138,0.81,1,0.72,2,1,0,-1,,,4.191,0.428,0.381,2,0,,,,,0.57,0.383
agm2000137296,0,KCa(SeO3)2,Ca K O Se,10,0.311,0.291,0.066,0.103,0.17,0,0.23,0,1,0,-1,,,6.98,0.151,0.21,2,0,,1.629,0.989,0.756,0.94,0.394
